Status,,,,,,,
@myogiadityanath… https://t.co/efjsDlkRDU,,,,,,,
RT @RealVinduSingh: Can’t believe politics is being played while the country is trying to stay united in these tough times of #Covid We all…,,,,,,,
RT @brianschatz: The fact that warnings about COVID 19 was in the PDB is a smoking gun. https://t.co/1p9O0zsOsZ,,,,,,,
RT @13WHAM: JUST IN: Children's Detention Center staff member tests positive for COVID-19 https://t.co/cb92oEJfEP, illumine life and chant Hare Krishna at #9PM9Minute…,,,,,,
RT @Sheikh__Abdal: Accept Islam before it's too late! ,,,,,,,
COVID-19,,,,,,,
Islam the religion of truth and peace ❤️,,,,,,,
RT @AlinSLive: #COVID19 #PSA #Hanian - ,,,,,,,
A friendly reminder that opening items in the store and consuming them is a form of shoplifting /…,,,,,,,
RT @Omkar_Raii: #STPIFabLab is doing a fabulous job to fight #COVID19 by designing &amp; fabricating safety devices for medical professionals w…,,,,,,,
RT @theshisaurus: Our reklamo has an important purpose.,,,,,,,
@manish10061988 Hi! Ola has set up a welfare fund in which people from across the country can donate money which wi… https://t.co/gzH1hUpJpA,,,,,,,
Contaminated surfaces were a major vector for COVID-19 transmission in New York,,,,,,,
NOW after the horse is out of the… https://t.co/PfsuAa5cCO, have switched off the lights…,,,,,,
We stand united in the crisis. #9बजे9मिनट,,,,,,,
@kbfc_manjappada @BluePilgrims @EBRPFC @MohunBaganFans @Supermachans, in purview of COVID-19, we are currently operating at reduced strength. We might take a little long… https://t.co/qSGz8PSYcz,,,,,
You may want to put them under armed guards. Trump is stealing them from the various states and localities.,,,,,,,
RT @JaimePrimak: Hi @drdrew go on FOX NEWS and apologize. Tell everyone who watches how wrong you were about COVID. ,,,,,,,
THE APOLOGY NEEDS TO B…,,,,,,,
RT @Official_TTFT: The most comprehensive lost of COVID-19 symptoms released so far, have switched off the lights…,,,,,,
* Delusional hypocrisy,,,,,,,
- Repu…,,,,,,,
RT @bernamadotcom: No indication #COVID-19 can spread through food - Health DG @DGHisham ,,,,,,,
https://t.co/1VplTrePMG https://t.co/7yhabp5aC1,,,,,,,
I’m ready to rush Covid19 to get my hair braided 😭, have switched off the lights…,,,,,,
The govt likes to picks which country it wants to compete with. So rather than Scandinavian countries or West Europ… https://t.co/khzmGjrttO,,,,,,,
U.S. May Get More Ventilators But Run Out Of Medicine For COVID-19 Patients https://t.co/k7zDBLtPwP, no…,,,,,,
He hasn’t been 100% correct so far...hoping he’s wrong about this 🙏🏻,,,,,,,
RT @PstLily: Between preparing for entry into the Glorious Kingdom of God and preparing for death and suffering  when COVID19 takes its ful…,,,,,,,
RT @DananaMama: Fact check ☑️ ,,,,,,,
USA Today rates question TRUE Obama’s administration did deplete the federal stockpile of N95 mask 😷 https:/…,,,,,,,
RT @vishal1109: Celebrating Prakash Utsav at our Rooftop.. Unite India..Against COVID-19,,,,,,,
STAY HOME..STAY SAFE @narendramodi @SureshChavhan…,,,,,,,
All of them. However,,,,,,,
Victory!..... United in GOD we are more powerful..Let it begin Today in Jesus' Name......,,,,,,,
RT @dps5400: Summary of Ark Invest's Q&amp;A Session on Covid-19 and Market Volatility - THREAD,,,,,,,
Tried to keep it to 25,,,,,,,
RT @FergalBowers: Ethiopia has announced the first death of a patient suffering from Covid-19 as officials ramped up testing to get a clear…, Lamps &amp; torches to Fight 'Darkness Of Coronavirus' ,,,,,,
RT @caetuscap: *N.Y. NEW VIRUS HOSPITALIZATIONS DROP TO 574 FROM 1,,,,,,,
*74% OF HOSPITALIZED COVID PATIENTS ARE DISCHARGED: CUOMO,,,,,,,
*CUOMO SAY…,,,,,,,
Increasingly oppressive lockdowns are only a stop-gap measure and are no substitute for systematic contact tracing… https://t.co/cIBcvt0YDD,,,,,,,
RT @marygribbin809: The Trump administration’s botched coronavirus response was years in the making https://t.co/gSs7cnQHQ2 via @voxdotcom," as he headed toward Calvary: ""A nation will be judged by how it treats the least of these."" That means", if we…,,,,,
RT @LuyismediaTV: ✅COVID-19: Couple name twins after the pandemic.,,,,,,,
RT @robertlufkinmd: More #COVID19 victims: 6/10 colleges missed their fall enrollment goals and 30% of public &amp; private colleges have been…, otherwise the COVID-19 positive i… https://t.co/UyNU8ZbmfV,,,,,,
RT @rsprasad: On the call of our PM @narendramodi Ji let us all stand together in this fight against #COVID19 pandemic. ,,,,,,,
Let us show our so…, COVID go away, come again... jk stay away https://t.co/r2VlDQ5hDo,,,,,
RT @BuddJenn: .@USBPChief .@CBP .@ICEgov recognize that you and your families are buying and eating food picked,,,,,,,
If you're in the US,,,,,,,
RT @SimonHarrisTD: We are entering a really crucial week in our efforts to #flattenthecurve &amp; save lives. You are making progress &amp; you hav…, have switched off the lights…,,,,,,
Anybody been noticing that covid-19 news interviews via video comm platforms has led to a silent (?) competition of… https://t.co/o4b19jloVP,,,,,,,
RT @WellyAdvertiser: Four local newspaper carriers,,,,,,,
@RajatSharmaLive At least We have Succeeded in Creating More “Awareness”and “Cautioned “the People of our Country.… https://t.co/g2k75GqO8h,,,,,,,
#Coronavirus: Kuwait reports first death from Covid-19 as cases near 500 ,,,,,,,
https://t.co/tcK6X8mqMZ,,,,,,,
@POTUS Why are hospital staff being sent home. Is this pandemic only really in NY? Why is NY numbers so high? Are t… https://t.co/9XItMaLfpd,,,,,,,
RT @theamorrison: Use your 29 Gold Points to good cause! Get High Noon Revolver at -90% during Spring Sale until April 9. For only $0.29 yo…, former commanding officer of USS Theodore Roosevelt, has tested positive for Covi…,,,,,
@carrieksada @paulsperry_ I live in rural King Co. WA,,,,,,,
RT @andrawaag: We just had our first #covid_19_bh20 #wikidata themed telconf. It looks like we are going to have an interesting set of topi…,,,,,,,
RT @liberatedno: @Jordan_Sather_ For now,,,,,,,
RT @aimaMK: Duties at Mayo Hospital have been split to limit exposure of frontline medical staff to COVID-19. ,,,,,,,
When my mother returns to w…,,,,,,,
What a spectacular sight all around for 9 mnts at 9 pm kudos to the people of India,,,,,,,
@JohnNel91776409 Well,,,,,,,
RT @UW_PHI: Do You Have #COVID19 or Just Spring Allergies? https://t.co/s4CDzBWKEY via @UWMedicine #PopulationHealth,,,,,,,
RT @AlisonJohnstone: I welcome the announcement that the CMO will be withdrawn from COVID-19 public information campaign and public facing…,,,,,,,
@ABPNews @aajtak @narendramodi @PMOIndia This picture shows the unity in diversity.,,,,,,,
Everyone  has participated to f… https://t.co/JmZrnLTffY, bringing the total to 3,662 cases as of Sunday, says the Health Ministry…,,,,
@JM_Scindia Today,,,,,,,
RT @RichardBarrow: IMPORTANT: There are now very few long distance trains. For example,,,,,,,
Day off from the ER.,,,,,,,
I’m a little burnt out,,,,,,,
I’m constantly thinking &amp; reading about… https://t.co/aUST9N3eZW,,,,,,,
RT @sunlorrie: Sorry,,,,,,,
RT @Nigerialawyers: SERAP Asks FG,,,,,,,
@realDonaldTrump ...... GIVE THOSE VENTILATORS OVER RIGHT FUCKING NOW, who was removed as commanding officer of the U.S.S. Theodore Roosevelt, has tested positive for Covid-1…,,,,,
RT @MRamzyDO: #COVID19 Phenotype Infographic explained by @gattinon https://t.co/xj0rACikrX,,,,,,,
#COVIDfoam #FOAMed #FOAMcc @cameronks @srrezai…,,,,,,,
RT @erinbanksss: If you’re seriously not taking this covid serious,,,,,,,
RT @praddy06: India Covid-19 cases to cross 4200 today. Earlier it took 4 days for 1000 cases &amp; now it takes just 2 days for 1000 cases,,,,,,,
1-…,,,,,,,
RT @GrrrGraphics: NEW #Bonus #BenGarrisonCartoon for your Weekend! #BillGates Medical Fascist- Bill puts the jackboots on!  Great Ben rant…,,,,,,,
RT @jk_rowling: I’ve rarely felt prouder ❤️💛💚💙,,,,,,,
RT @AndyGrewal: If you still aren’t sure why impeachment was such a spectacular failure,,,,,,,
RT @RailMinIndia: Indian Railways is ensuring that supply of sugar,,,,,,,
RT @goldyhyder: Must listen ....Linda is made for these types of situations. Her straightforward,,,,,,,
Brilliant!!! US Empire Exploits COVID-19 For More War https://t.co/nMUTETYU88,,,,,,,
RT @AntonKreil: First they said it was harmless. Then they said it was deadly. Now if your leg falls off and you bleed to death you probabl…,,,,,,,
RT @CorporalBen: HUGE! From the @CDCgov Website: Hospitals to List COVID-19 as Cause of Death Even if It’s “Assumed to Have Caused Or Contr…,,,,,,,
"RT @TeaPainUSA: We'll accept this as her ""do not resuscitate"" declaration.",,,,,,,
RT @bernarddonoghue: Coronavirus: Longleat Safari Park owner Lord Bath dies after contracting COVID-19,,,,,,,
https://t.co/KorZTORbYx https://t.co…,,,,,,,
RT @nychange: Our members are not able to flee to the Hampton’s or go to their vacation homes to get away from this crisis. ,194, but the number of DAILY deaths has…,,,,,
https://t.co/W…,,,,,,,
RT @gmanews: Chinese medical team arrives in Manila to assist in efforts against COVID-19 https://t.co/mH7vfEIfhw,,,,,,,
Rich predicts:,,,,,,,
The reprehensible gutter trash media tw*ts will now go all-out to try to find out who the two peopl… https://t.co/ANGRQkOvR3,,,,,,,
More Good news in coming., people have made it better than Diwali. No one can take away the enthusiasm and vibrancy of this country. #CO…,,,,,,
RT @APSmith82: My new pair of glasses weirdly came with Trump’s COVID response plan stamped onto one of its arms. https://t.co/rANXqBPEzR,,,,,,,
@RDHSir Hi,,,,,,,
"RT @Paola_Dec1231: ""Canada has almost all it needs. But...its government",,,,,,,
"Drop the nonsense preo…,
RT @larrybrilliant: I marvel at how clear the #Economist makes foolish politicians seem. Today they did this interview of me. I swear I am…,
RT @HFWOdisha: 16 more COVID positive cases confirmed in Bhubaneswar.,
He is Evil!,
Run them the ventilators,
#COVID19 Update (as of 4/5/20 at 12:00 am):
• 1,493 additional positive cases of COVID-19
• 11,510 total cases stat… https://t.co/sESeXnMg9p,
State Officials Require Faster Reporting of COVID-19 Deaths - https://t.co/GRNyLLxCpX,
Even if #COVID-19 goes away today,  the world has been changed forever

1. Accelerate virtual meetings 
2. Work fro… https://t.co/EN2fJZeun1,
Covid-19 Shutdown: NBA Lagos to Distribute Welfare Supplements to 1000 Lawyers as Akpata Donates N5m -… https://t.co/8h2huoXfgz,
Latin American health services in the face of Covid-19.  https://t.co/MAJoAVeFyj,
RT @ishehnaaz_gill: Dear Kabir, I pray you get well soon really fast and that you be healthy always.,
RT @StJohnKenya: UPDATE: 16 new COVID-19 cases confirmed in Kenya, bringing the total number to 142 https://t.co/mq2Uy5Zi6t,
@narendramodi 9minuts 9pm 9diya ...... We will fight with this COVID-19 together @narendramodi Jai Hind 🙏🏻 https://t.co/WkBkpqv9Bf,
RT @CheyneJoness: Barbados has recorded its first Covid 19 death. An 81 year old man with underlying medical conditions (diabetes) He recen…,
RT @IsraelinIndia: The team at @IsraelinIndia joins our brothers and sisters in India as we light up the darkness at #9pm9minutes

Let’s sp…,
RT @AmitShah: A ray of hope and belief can brighten the darkest times.

On PM @narendramodi ji’s clarion call, have switched off the lights…,
RT @johncardillo: 6200 doctors in 30 nations are touting the efficacy of Hydroxycloroquine in treating COVID-19. 

Fauci continues to downp…,
RT @wef: How COVID-19 compares to seasonal flu, and why you should take it seriously https://t.co/JsHuaWaBUN #coronavirus #COVID19 https://…,
RT @Stowydad: #covid19 Minnesota update for Sunday via 
@mnhealth:

--29 deaths (+5)
--935 positive cases (+70)*
--106 still hospitalized (…,
RT @_miloooais: What sad is this person is well and healthy, meanwhile my family have to suffer cause 5 passed away and 2 in icu.,
RT @gimbakakanda: An American friend has told me that the US embassy actually wrote to warn them about the danger of returning during this…,
RT @dataeditor: the total number of covid deaths in the past 24 hours in nyc surpasses the city’s annual murder total for each of the past…,
RT @kolarik_radek: My beloved spiritual children, please do not meditate on COVID-19. Your wrong attitude causes chaos in the spiritual wor…,
RT @AstroAmigo: My Diyas in the form of Jai Hind. Thanks @narendramodi sir for unifying India in collective fight against #COVID19. Togethe…,
RT @flyairpeace: COVID-19: Air Peace on Saturday, April 4, 2020 delivered medical supplies from Turkey, on behalf of the Federal Government…,
RT @errikaaaaaaaa: finally covid free!! https://t.co/JoJUWZKmX4,
Wow...smh,
RT @dsfartode: #Video : Lakadganj Police personnel lighted candles on barricades to show support to #FightAgainstCoronavirus at #Nagpur cit…,
RT @AmitShah: A ray of hope and belief can brighten the darkest times.

On PM @narendramodi ji’s clarion call, have switched off the lights…,
RT @Y_e_N_L_I: Pls help spread this i was on this flight and tested negative but someone on this flight was tested positive for COVID-19. S…,
Steelers season in limbo due to pandemic: 'The season is in question, no doubt' - Jonathon Bujold, Steelers general… https://t.co/hT9JbqDDpY,
RT @AlexBerenson: 1/ Morning folks. Wondering why @CDCgov is using such aggressive rules for death counts? Look - there's considerable evid…,
RT @NewTechTwin: rt @wef @mikequindazzi @antgrasso @fisher85m
Companies around the world continue to bring the fight to #COVID19 #coronavir…,
RT @AmitShah: A ray of hope and belief can brighten the darkest times.

On PM @narendramodi ji’s clarion call, have switched off the lights…,
RT @KenTremendous: Dr. Drew is suing on copywrite"" grounds to remove this video of him being dead wrong about Covid-19 over and over and o…",” Joe Jr. began, looking at a name. “Not covid,” he said, looking at the next one. “Covid, covid, covid…,
For example,,,,,,,
@TrickyDickPol @DragonEmpress4 @yashar Not at all. I'm not arguing for people being outside or gathering in groups… https://t.co/lzOFGRedIl,,,,,,,
RT @natureofthings7: Coronavirus death toll: Americans are almost certainly dying of covid-19 but being left out of the official count http…,,,,,,,
RT @AOC: COVID deaths are disproportionately spiking in Black + Brown communities.,,,,,,,
Why? Because the chronic toll of redlining, where the disease began, despite having months to pre…,,,,,
RT @Local4News: Anthony Smith,,,,,,,
https://t.co/Ds3DjfghRo, keep praying, stay safe, stay healthy! ,,,,
RT @Elizatweetz: Thread:,,,,,,,
Dear @PMOIndia, I pray you get well soon really fast and that you be healthy always.,,,,,,
I urge you to keep the nation before your own publicity. How about shedding light on some real issu…,,,,,,,
RT @GeigerNews: I have to agree with right-wing Looney Tunes, have switched off the lights…,,,,,,
Trump supporters: When a COVID-19 vaccine becomes…,,,,,,,
"RT @DVATW: Have you noticed how the BBC no longer talks much about how the EU is 'dealing"" with #COVID19 Why it's almost as if the catastro…",,,,,,,
